x	y	set
-9.99999999973245e-07	0	2
-9.98026728427082e-07	-6.27905195060841e-08	2
-9.92114701336977e-07	-1.25333233569336e-07	2
-9.82287250705927e-07	-1.87381314575852e-07	2
-9.68583161120584e-07	-2.48689887183406e-07	2
-9.51056516318438e-07	-3.09016994382016e-07	2
-9.29776485913969e-07	-3.6812455267432e-07	2
-9.04827052450319e-07	-4.25779291546302e-07	2
-8.76306680053229e-07	-4.81753674119734e-07	2
-8.44327925519917e-07	-5.35826794989536e-07	2
-8.09016994396394e-07	-5.87785252303963e-07	2
-7.70513242764892e-07	-6.37423989757746e-07	2
-7.28968627405902e-07	-6.84547105944677e-07	2
-6.84547105944677e-07	-7.28968627405902e-07	2
-6.37423989757746e-07	-7.70513242764892e-07	2
-5.87785252303963e-07	-8.09016994396394e-07	2
-5.35826794989536e-07	-8.44327925519917e-07	2
-4.81753674119734e-07	-8.76306680053229e-07	2
-4.25779291546302e-07	-9.04827052450319e-07	2
-3.6812455267432e-07	-9.29776485913969e-07	2
-3.09016994382016e-07	-9.51056516318438e-07	2
-2.48689887183406e-07	-9.68583161120584e-07	2
-1.87381314575852e-07	-9.82287250705927e-07	2
-1.25333233569336e-07	-9.92114701336977e-07	2
-6.27905195060841e-08	-9.98026728427082e-07	2
0	-9.99999999973245e-07	2
6.27905195060841e-08	-9.98026728427082e-07	2
1.25333233569336e-07	-9.92114701336977e-07	2
1.87381314575852e-07	-9.82287250705927e-07	2
2.48689887183406e-07	-9.68583161120584e-07	2
3.09016994382016e-07	-9.51056516318438e-07	2
3.6812455267432e-07	-9.29776485913969e-07	2
4.25779291546302e-07	-9.04827052450319e-07	2
4.81753674119734e-07	-8.76306680053229e-07	2
5.35826794989536e-07	-8.44327925519917e-07	2
5.87785252303963e-07	-8.09016994396394e-07	2
6.37423989757746e-07	-7.70513242764892e-07	2
6.84547105944677e-07	-7.28968627405902e-07	2
7.28968627405902e-07	-6.84547105944677e-07	2
7.70513242764892e-07	-6.37423989757746e-07	2
8.09016994396394e-07	-5.87785252303963e-07	2
8.44327925519917e-07	-5.35826794989536e-07	2
8.76306680053229e-07	-4.81753674119734e-07	2
9.04827052450319e-07	-4.25779291546302e-07	2
9.29776485913969e-07	-3.6812455267432e-07	2
9.51056516318438e-07	-3.09016994382016e-07	2
9.68583161120584e-07	-2.48689887183406e-07	2
9.82287250705927e-07	-1.87381314575852e-07	2
9.92114701336977e-07	-1.25333233569336e-07	2
9.98026728427082e-07	-6.27905195060841e-08	2
9.99999999973245e-07	0	2
9.98026728427082e-07	6.27905195060841e-08	2
9.92114701336977e-07	1.25333233569336e-07	2
9.82287250705927e-07	1.87381314575852e-07	2
9.68583161120584e-07	2.48689887183406e-07	2
9.51056516318438e-07	3.09016994382016e-07	2
9.29776485913969e-07	3.6812455267432e-07	2
9.04827052450319e-07	4.25779291546302e-07	2
8.76306680053229e-07	4.81753674119734e-07	2
8.44327925519917e-07	5.35826794989536e-07	2
8.09016994396394e-07	5.87785252303963e-07	2
7.70513242764892e-07	6.37423989757746e-07	2
7.28968627405902e-07	6.84547105944677e-07	2
6.84547105944677e-07	7.28968627405902e-07	2
6.37423989757746e-07	7.70513242764892e-07	2
5.87785252303963e-07	8.09016994396394e-07	2
5.35826794989536e-07	8.44327925519917e-07	2
4.81753674119734e-07	8.76306680053229e-07	2
4.25779291546302e-07	9.04827052450319e-07	2
3.6812455267432e-07	9.29776485913969e-07	2
3.09016994382016e-07	9.51056516318438e-07	2
2.48689887183406e-07	9.68583161120584e-07	2
1.87381314575852e-07	9.82287250705927e-07	2
1.25333233569336e-07	9.92114701336977e-07	2
6.27905195060841e-08	9.98026728427082e-07	2
0	9.99999999973245e-07	2
-6.27905195060841e-08	9.98026728427082e-07	2
-1.25333233569336e-07	9.92114701336977e-07	2
-1.87381314575852e-07	9.82287250705927e-07	2
-2.48689887183406e-07	9.68583161120584e-07	2
-3.09016994382016e-07	9.51056516318438e-07	2
-3.6812455267432e-07	9.29776485913969e-07	2
-4.25779291546302e-07	9.04827052450319e-07	2
-4.81753674119734e-07	8.76306680053229e-07	2
-5.35826794989536e-07	8.44327925519917e-07	2
-5.87785252303963e-07	8.09016994396394e-07	2
-6.37423989757746e-07	7.70513242764892e-07	2
-6.84547105944677e-07	7.28968627405902e-07	2
-7.28968627405902e-07	6.84547105944677e-07	2
-7.70513242764892e-07	6.37423989757746e-07	2
-8.09016994396394e-07	5.87785252303963e-07	2
-8.44327925519917e-07	5.35826794989536e-07	2
-8.76306680053229e-07	4.81753674119734e-07	2
-9.04827052450319e-07	4.25779291546302e-07	2
-9.29776485913969e-07	3.6812455267432e-07	2
-9.51056516318438e-07	3.09016994382016e-07	2
-9.68583161120584e-07	2.48689887183406e-07	2
-9.82287250705927e-07	1.87381314575852e-07	2
-9.92114701336977e-07	1.25333233569336e-07	2
-9.98026728427082e-07	6.27905195060841e-08	2
-0.150001	0	2
-0.149705007290969	-0.00941864071991655	2
-0.148818197311873	-0.0188001103678792	2
-0.147344069896554	-0.0281073845691733	2
-0.145288442752456	-0.0373037317646154	2
-0.142659428500789	-0.0463528581732365	2
-0.139467402659724	-0.0552190510272544	2
-0.135724962696955	-0.0638673195140524	2
-0.13144687831326	-0.0722635328689314	2
-0.126650033153228	-0.0803745550736445	2
-0.121353358173237	-0.0881683756291233	2
-0.115577756929611	-0.0956142358862932	2
-0.109346023081839	-0.102682750436409	2
-0.102682750436409	-0.109346023081839	2
-0.0956142358862932	-0.115577756929611	2
-0.0881683756291233	-0.121353358173236	2
-0.0803745550736444	-0.126650033153228	2
-0.0722635328689314	-0.13144687831326	2
-0.0638673195140524	-0.135724962696955	2
-0.0552190510272544	-0.139467402659724	2
-0.0463528581732365	-0.142659428500789	2
-0.0373037317646154	-0.145288442752456	2
-0.0281073845691733	-0.147344069896554	2
-0.0188001103678792	-0.148818197311873	2
-0.00941864071991655	-0.149705007290969	2
0	-0.150001	2
0.00941864071991655	-0.149705007290969	2
0.0188001103678792	-0.148818197311873	2
0.0281073845691733	-0.147344069896554	2
0.0373037317646154	-0.145288442752456	2
0.0463528581732364	-0.142659428500789	2
0.0552190510272543	-0.139467402659724	2
0.0638673195140525	-0.135724962696955	2
0.0722635328689314	-0.13144687831326	2
0.0803745550736445	-0.126650033153228	2
0.0881683756291232	-0.121353358173237	2
0.0956142358862932	-0.115577756929611	2
0.102682750436409	-0.109346023081839	2
0.109346023081839	-0.102682750436409	2
0.115577756929611	-0.0956142358862933	2
0.121353358173236	-0.0881683756291233	2
0.126650033153228	-0.0803745550736445	2
0.13144687831326	-0.0722635328689314	2
0.135724962696955	-0.0638673195140525	2
0.139467402659724	-0.0552190510272544	2
0.142659428500789	-0.0463528581732365	2
0.145288442752456	-0.0373037317646154	2
0.147344069896554	-0.0281073845691733	2
0.148818197311873	-0.0188001103678793	2
0.149705007290969	-0.00941864071991655	2
0.150001	0	2
0.149705007290969	0.00941864071991655	2
0.148818197311873	0.0188001103678792	2
0.147344069896554	0.0281073845691733	2
0.145288442752456	0.0373037317646153	2
0.142659428500789	0.0463528581732365	2
0.139467402659724	0.0552190510272544	2
0.135724962696955	0.0638673195140524	2
0.13144687831326	0.0722635328689314	2
0.126650033153228	0.0803745550736444	2
0.121353358173237	0.0881683756291232	2
0.115577756929611	0.0956142358862932	2
0.109346023081839	0.102682750436409	2
0.102682750436409	0.109346023081839	2
0.0956142358862932	0.115577756929611	2
0.0881683756291233	0.121353358173236	2
0.0803745550736444	0.126650033153228	2
0.0722635328689314	0.13144687831326	2
0.0638673195140524	0.135724962696955	2
0.0552190510272544	0.139467402659724	2
0.0463528581732365	0.142659428500789	2
0.0373037317646153	0.145288442752456	2
0.0281073845691733	0.147344069896554	2
0.0188001103678793	0.148818197311873	2
0.00941864071991649	0.149705007290969	2
0	0.150001	2
-0.00941864071991644	0.149705007290969	2
-0.0188001103678792	0.148818197311873	2
-0.0281073845691732	0.147344069896554	2
-0.0373037317646154	0.145288442752456	2
-0.0463528581732365	0.142659428500789	2
-0.0552190510272543	0.139467402659724	2
-0.0638673195140523	0.135724962696955	2
-0.0722635328689314	0.13144687831326	2
-0.0803745550736445	0.126650033153228	2
-0.0881683756291232	0.121353358173237	2
-0.0956142358862931	0.115577756929611	2
-0.102682750436409	0.109346023081839	2
-0.109346023081839	0.102682750436409	2
-0.115577756929611	0.0956142358862932	2
-0.121353358173236	0.0881683756291233	2
-0.126650033153228	0.0803745550736445	2
-0.13144687831326	0.0722635328689315	2
-0.135724962696955	0.0638673195140525	2
-0.139467402659724	0.0552190510272544	2
-0.142659428500789	0.0463528581732365	2
-0.145288442752456	0.0373037317646155	2
-0.147344069896554	0.0281073845691733	2
-0.148818197311873	0.0188001103678793	2
-0.149705007290969	0.00941864071991649	2
-0.300001	0	2
-0.29940901655521	-0.0188372186493135	2
-0.297635402509045	-0.0376000954025248	2
-0.294687157505857	-0.056214581757032	2
-0.29057591692175	-0.0746072148393436	2
-0.285317905945062	-0.0927054073294786	2
-0.278933875542961	-0.110437733929956	2
-0.271449020566858	-0.127734213248813	2
-0.262892880319839	-0.144526583984189	2
-0.25329922197853	-0.160748574320494	2
-0.242705907329479	-0.176336163472994	2
-0.23115474334598	-0.191227834348597	2
-0.218691317195051	-0.205364816325713	2
-0.205364816325713	-0.218691317195051	2
-0.191227834348597	-0.23115474334598	2
-0.176336163472994	-0.242705907329479	2
-0.160748574320494	-0.25329922197853	2
-0.144526583984189	-0.262892880319839	2
-0.127734213248813	-0.271449020566858	2
-0.110437733929956	-0.278933875542961	2
-0.0927054073294786	-0.285317905945062	2
-0.0746072148393436	-0.29057591692175	2
-0.056214581757032	-0.294687157505857	2
-0.0376000954025249	-0.297635402509045	2
-0.0188372186493136	-0.29940901655521	2
0	-0.300001	2
0.0188372186493135	-0.29940901655521	2
0.0376000954025248	-0.297635402509045	2
0.056214581757032	-0.294687157505857	2
0.0746072148393436	-0.29057591692175	2
0.0927054073294785	-0.285317905945062	2
0.110437733929956	-0.278933875542961	2
0.127734213248813	-0.271449020566858	2
0.144526583984189	-0.262892880319839	2
